ED;ID;Data_Nascimento
676;580;15/12/67
677;592;16/08/91
678;242;20/08/48
679;159;04/01/04
680;991;19/11/56
681;362;01/01/72
682;354;18/03/52
683;573;10/05/78
684;42;04/01/12
685;298;15/05/38
686;783;24/01/87
687;623;30/11/37
688;30;05/06/77
689;267;03/01/90
690;790;11/06/82
691;894;20/07/56
692;514;01/02/71
693;241;25/04/14
694;399;03/12/98
695;390;16/08/45
696;839;02/01/03
697;429;16/07/91
698;22;21/12/55
699;452;02/02/65
700;727;18/06/69
701;797;27/06/85
702;11;10/12/47
703;732;01/06/31
704;613;21/02/06
705;564;17/03/02
706;469;26/07/86
707;759;03/02/86
708;867;08/07/76
709;225;23/05/19
710;158;17/09/00
711;624;21/03/35
712;310;13/09/84
713;508;27/10/73
714;772;26/03/44
715;753;30/12/89
716;526;23/06/58
717;377;14/11/83
718;503;19/11/89
719;674;04/01/81
720;333;16/10/91
721;504;03/08/61
722;308;05/11/31
723;31;31/01/94
724;606;27/06/73
725;36;06/05/61
726;393;27/12/77
727;284;06/04/96
728;483;20/10/90
729;547;16/06/10
730;190;21/08/10
731;639;06/11/41
732;411;23/11/46
733;319;17/01/34
734;229;16/07/91
735;831;30/10/10
736;989;09/02/56
737;761;05/10/46
738;549;08/06/77
739;211;05/05/37
740;515;09/08/69
741;191;29/10/54
742;928;12/05/99
743;107;13/08/80
744;70;03/03/04
745;861;16/07/35
746;562;03/06/48
747;596;23/09/62
748;642;06/06/63
749;25;01/06/55
750;576;15/11/98
751;154;01/08/46
752;951;12/12/86
753;94;04/03/35
754;48;30/06/79
755;561;02/03/97
756;192;13/01/80
757;262;21/09/60
758;716;03/04/47
759;937;06/10/70
760;472;16/04/82
761;462;21/06/16
762;404;01/12/75
763;317;11/08/37
764;138;08/07/17
765;222;03/01/96
766;822;17/02/16
767;552;22/07/62
768;244;23/10/38
769;374;19/03/09
770;268;18/03/90
771;360;02/10/37
772;300;01/07/40
773;256;27/06/64
774;960;09/10/44
775;302;16/02/36
776;288;07/05/50
777;194;05/03/41
778;792;11/07/60
779;756;15/11/49
780;195;04/06/47
781;923;23/10/61
782;264;29/02/00
783;95;15/04/35
784;347;20/02/36
785;828;20/02/30
786;780;29/07/74
787;1000;19/03/36
788;394;21/09/01
789;604;16/11/01
790;773;22/01/73
791;590;22/02/91
792;257;25/01/50
793;929;28/11/48
794;164;30/07/53
795;979;12/06/94
796;802;29/03/32
797;909;06/04/49
798;180;11/05/91
799;227;28/01/88
800;795;27/08/78
801;464;12/04/06
802;186;21/10/40
803;68;04/10/87
804;439;22/10/91
805;728;17/06/98
806;821;20/08/35
807;5;26/09/89
808;757;24/11/87
809;479;31/03/66
810;641;06/04/34
811;886;23/05/56
812;939;18/06/42
813;133;09/02/82
814;111;20/11/13
815;182;21/10/72
816;397;08/09/87
817;637;21/03/95
818;731;08/04/87
819;125;04/10/60
820;326;23/03/46
821;803;05/11/14
822;444;13/09/87
823;652;01/09/12
824;617;20/06/69
825;239;21/07/34
826;187;17/06/31
827;648;16/12/42
828;485;07/09/64
829;214;27/05/84
830;952;22/10/91
831;282;06/03/89
832;959;12/01/51
833;570;15/07/45
834;271;25/08/06
835;704;06/08/88
836;554;28/07/69
837;274;24/12/42
838;501;07/09/97
839;916;10/06/82
840;283;06/03/49
841;971;23/02/77
842;984;16/02/00
843;93;01/05/53
844;179;27/01/91
845;8;16/07/12
846;581;05/09/67
847;870;10/03/66
848;337;17/09/76
849;585;10/02/03
850;299;24/08/71
851;804;24/08/63
852;26;29/01/48
853;679;21/09/03
854;903;05/11/10
855;876;25/09/97
856;980;06/04/88
857;686;20/06/55
858;449;20/05/16
859;142;28/05/63
860;316;31/05/52
861;162;29/04/65
862;806;19/04/32
863;466;12/07/84
864;899;19/10/55
865;997;12/04/05
866;458;25/07/96
867;2;03/10/92
868;993;19/06/92
869;121;21/10/62
870;791;05/06/03
871;14;07/06/48
872;181;21/01/56
873;665;19/03/52
874;855;23/12/72
875;434;19/01/32
876;188;31/08/86
877;837;01/09/14
878;339;17/06/69
879;150;25/12/99
880;938;21/12/01
881;64;29/09/12
882;558;11/06/17
883;359;07/04/69
884;786;18/05/15
885;840;10/08/47
886;453;16/02/63
887;65;06/05/70
888;568;08/05/06
889;955;12/05/42
890;9;10/01/60
891;293;05/02/08
892;185;24/08/79
893;569;18/10/12
894;556;09/08/87
895;124;28/07/33
896;922;01/02/09
897;291;07/09/05
898;801;05/08/53
899;349;02/11/03
900;418;12/02/70
901;776;06/04/44
902;100;21/02/64
903;694;05/07/36
904;69;29/03/92
905;575;24/03/05
906;687;25/04/61
907;465;17/06/48
908;414;01/09/80
909;763;06/07/00
910;103;25/02/64
911;342;30/04/44
912;880;20/03/17
913;224;30/07/74
914;6;01/11/88
915;441;08/02/93
916;146;15/01/58
917;965;14/02/49
918;32;17/09/59
919;401;18/02/95
920;968;07/06/59
921;571;01/09/94
922;817;13/02/79
923;643;21/07/08
924;369;06/09/48
925;400;24/03/39
926;764;09/06/94
927;315;24/02/82
928;530;21/09/53
929;782;01/06/10
930;402;09/07/61
931;176;31/07/90
932;900;06/12/42
933;451;21/03/99
934;87;29/05/97
935;265;06/08/35
936;901;27/10/93
937;992;17/08/85
938;90;09/12/68
939;235;12/02/04
940;50;22/10/50
941;174;12/08/09
942;644;29/08/00
943;450;09/07/46
944;563;15/08/82
945;99;20/02/56
946;966;24/05/10
947;476;21/08/85
948;945;20/11/70
949;352;02/11/80
950;599;01/02/55
951;467;02/07/34
952;933;13/06/65
953;463;12/12/37
954;332;03/07/51
955;41;06/06/01
956;128;11/02/05
957;721;07/05/11
958;101;18/07/83
959;826;14/05/53
960;827;04/01/08
961;1;21/01/15
962;768;10/07/34
963;372;09/07/49
964;78;03/03/73
965;972;30/01/71
966;228;25/03/39
967;559;17/08/84
968;137;04/10/35
969;376;18/03/33
970;859;06/01/85
971;906;06/01/45
972;589;03/05/91
973;341;07/08/76
974;281;04/05/49
975;408;20/12/61
976;261;03/07/63
977;810;28/06/02
978;86;15/07/45
979;860;21/02/81
980;215;29/04/95
981;729;21/12/05
982;640;07/02/96
983;246;10/09/69
984;134;14/12/91
985;201;02/02/97
986;905;01/03/94
987;489;25/03/46
988;567;11/04/82
989;823;03/05/31
990;4;02/06/67
991;409;10/03/41
992;628;01/08/67
993;834;26/12/56
994;990;02/01/87
995;45;20/09/69
996;954;19/03/80
997;853;09/07/12
998;882;26/08/44
999;220;16/12/31
1000;511;06/09/76
