ID;Nome;Sobrenome;Cidade;Estado;Data_Nascimento;Setor;Estado_Civil;Salario;Prox.Nome;Prox.Sobrenome;Prox.Cidade;Prox.Estado;Prox.Data_Nascimento;Prox.Setor;Prox.Estado_Civil;Prox.Salario
23;Cody;Poole;Carapicuíba;São Paulo;10/01/79;Serviço ao Cliente;Viúvo;R$8,054;0;0;621;607;0;611;606;0
24;Clayton;Gillespie;Itabuna;BA;09/01/30;Jurídico;Casado;R$5,985;521;521;521;422;521;422;422;521
25;Gage;Newton;Ilhéus;BA;01/06/55;Relações Públicas;Solteiro;R$7,674;0;0;798;798;0;755;752;0
26;Wynne;Pittman;São Gonçalo;Rio de Janeiro;29/01/48;Recursos Humanos;Divorciado;R$7,923;0;0;857;857;0;857;856;0
27;Isabelle;Hunter;Valparaíso de Goiás;Goiás;15/06/89;Financeiro;Divorciado;R$6,155;0;230;229;229;0;237;229;0
28;Sean;Alvarado;Abaetetuba;Pará;16/02/13;Recursos Humanos;Divorciado;R$8,364;0;0;0;772;0;703;675;0
29;Lucius;Malone;Blumenau;SC;07/11/64;Jurídico;Solteiro;R$9,089;0;743;680;264;0;264;260;0
30;Rina;Oneil;Curitiba;PR;05/06/77;Suporte Técnico;Solteiro;R$6,960;0;690;896;725;0;691;694;0
31;Kylie;Powers;Jundiaí;São Paulo;31/01/94;Serviço ao Cliente;Casado;R$6,391;0;0;799;726;0;732;725;0
32;Wanda;Frederick;Divinópolis;Minas Gerais;17/09/59;Pesquisa e Desenvolvimento;Casado;R$8,089;0;0;928;922;0;975;920;0
33;Colorado;Wilder;Itajaí;SC;02/12/85;Vendas;Solteiro;R$8,780;611;0;686;706;0;590;577;0
34;Halla;Perry;Osasco;São Paulo;12/05/78;Vendas;Viúvo;R$9,219;927;201;88;78;0;76;88;418
35;Miriam;Knight;Santa Maria;RS;07/10/91;Vendas;Divorciado;R$7,850;0;0;606;583;0;564;563;0
36;Kasimir;Phelps;Ponta Grossa;PR;06/05/61;Financeiro;Casado;R$6,471;770;0;736;732;0;734;734;746
37;Tara;Grimes;Belo Horizonte;Minas Gerais;23/04/11;Suporte Técnico;Solteiro;R$5,557;0;0;302;287;0;338;287;0
38;Abbot;Santos;Mauá;SP;21/08/58;Pesquisa e Desenvolvimento;Solteiro;R$5,292;374;136;68;75;0;78;69;0
39;Shoshana;Suarez;Osasco;SP;24/12/59;Suporte Técnico;Divorciado;R$8,967;811;0;135;126;0;128;122;0
40;Jaden;Hancock;Camaçari;BA;21/04/31;Suporte Técnico;Solteiro;R$6,928;0;0;300;288;0;284;282;0
41;Kasimir;Donaldson;Porto Alegre;Rio Grande do Sul;06/06/01;Vendas;Viúvo;R$8,267;0;0;996;961;0;964;956;975
42;Lillian;Savage;Rio de Janeiro;RJ;04/01/12;Relações Públicas;Solteiro;R$9,412;0;0;685;695;0;697;686;0
43;Finn;Miller;São João de Meriti;RJ;01/11/87;Serviço ao Cliente;Casado;R$5,909;0;641;334;192;0;207;184;0
44;Sara;Mitchell;Camaçari;BA;20/09/49;Serviço ao Cliente;Divorciado;R$7,210;644;343;311;311;0;307;302;0
45;Zephania;Fischer;Bayeux;PB;20/09/69;Suporte Técnico;Viúvo;R$6,966;0;0;997;997;0;1000;997;0
46;Karly;Bernard;Jundiaí;SP;28/08/64;Recursos Humanos;Divorciado;R$8,661;0;0;635;632;0;637;631;0
47;Knox;Short;Caxias;Maranhão;21/03/34;Relações Públicas;Casado;R$5,782;0;0;766;548;0;555;550;0
48;Larissa;Potts;Carapicuíba;SP;30/06/79;Financeiro;Solteiro;R$5,929;0;0;841;756;0;819;765;0
49;Aimee;Patrick;Duque de Caxias;Rio de Janeiro;12/04/16;Recursos Humanos;Solteiro;R$7,525;0;0;490;297;0;287;284;0
50;Colorado;Bird;Barra do Corda;MA;22/10/50;Vendas;Solteiro;R$5,868;0;0;0;951;0;941;944;0
51;Raja;Hinton;Diadema;São Paulo;03/09/33;Financeiro;Viúvo;R$9,425;595;595;520;497;595;497;497;595
52;George;Whitley;Ribeirão Preto;São Paulo;15/11/95;Relações Públicas;Viúvo;R$9,460;637;0;137;137;0;150;133;0
53;Yetta;Yates;Uberaba;MG;26/08/39;Jurídico;Casado;R$6,871;249;0;240;87;0;91;74;0
54;Xavier;Snider;Diadema;SP;19/01/80;Recursos Humanos;Divorciado;R$6,694;868;0;632;621;0;628;619;0
55;Chloe;Brock;Canoas;RS;24/08/72;Gerenciamento;Viúvo;R$5,214;0;0;658;658;0;662;659;0
56;Hedda;Gamble;Campinas;São Paulo;24/08/51;Vendas;Solteiro;R$6,444;496;0;309;307;0;309;308;0
57;Hamish;Saunders;Mogi das Cruzes;SP;18/02/54;Pesquisa e Desenvolvimento;Solteiro;R$8,545;289;381;53;50;0;49;50;0
58;Beatrice;Villarreal;Montes Claros;MG;03/03/80;Serviço ao Cliente;Solteiro;R$9,240;0;0;556;557;0;559;546;986
59;Lamar;Pope;Canoas;RS;25/01/97;Pesquisa e Desenvolvimento;Solteiro;R$8,988;0;0;907;711;0;686;661;717
60;Erin;Winters;Jundiaí;SP;06/01/80;Gerenciamento;Solteiro;R$8,182;0;984;628;628;0;632;637;0
61;May;Stark;Juazeiro;Bahia;15/06/55;Financeiro;Viúvo;R$8,158;993;936;263;43;0;40;35;0
62;Lydia;Moran;Campinas;SP;04/02/47;Serviço ao Cliente;Casado;R$8,281;0;674;446;417;0;414;399;0
63;Vernon;Shannon;Campos dos Goytacazes;Rio de Janeiro;10/11/44;Financeiro;Viúvo;R$8,206;0;682;301;210;0;209;206;0
64;Mechelle;Cameron;Guarulhos;SP;29/09/12;Pesquisa e Desenvolvimento;Viúvo;R$8,481;0;0;885;884;0;884;886;0
65;Amy;Padilla;Santa Maria;Rio Grande do Sul;06/05/70;Financeiro;Casado;R$7,544;0;0;917;900;0;922;889;0
66;Claire;Molina;Mogi das Cruzes;SP;29/10/99;Recursos Humanos;Divorciado;R$7,602;0;0;234;238;0;239;238;0
67;Lacey;Gregory;Castanhal;Pará;20/08/56;Financeiro;Viúvo;R$7,400;186;154;149;150;0;141;141;0
68;Jacob;Woodard;Guarulhos;SP;04/10/87;Vendas;Divorciado;R$5,412;0;0;825;804;0;810;806;0
69;Ocean;Crosby;Piracicaba;São Paulo;29/03/92;Marketing;Divorciado;R$6,550;0;0;919;905;0;909;908;0
70;Candace;Rhodes;Ribeirão Preto;São Paulo;03/03/04;Jurídico;Casado;R$8,864;0;0;756;768;0;752;750;0
71;Chadwick;Logan;Governador Valadares;MG;03/12/17;Suporte Técnico;Divorciado;R$9,821;883;724;184;156;0;154;153;0
72;Erasmus;Dodson;Chapecó;SC;07/08/45;Serviço ao Cliente;Divorciado;R$6,534;48;0;74;20;0;29;18;394
73;Denise;Whitehead;Carapicuíba;SP;08/11/06;Recursos Humanos;Divorciado;R$8,523;0;0;61;62;0;73;65;0
74;Leilani;Coffey;Santarém;Pará;06/03/84;Relações Públicas;Viúvo;R$8,941;849;736;0;76;0;64;52;0
75;Mercedes;Rose;Mauá;São Paulo;12/10/54;Gerenciamento;Viúvo;R$5,973;369;899;111;70;0;88;70;0
76;Sonya;Delgado;Ribeirão Preto;SP;28/01/62;Vendas;Casado;R$7,906;0;471;268;268;0;261;270;0
77;Zephr;Galloway;Campos dos Goytacazes;RJ;08/05/95;Vendas;Viúvo;R$5,646;821;971;698;581;0;517;520;0
78;Carl;Jacobs;Sete Lagoas;MG;03/03/73;Vendas;Viúvo;R$7,663;0;0;0;965;0;968;967;0
79;Paki;Mcmillan;Açailândia;MA;31/07/60;Financeiro;Casado;R$9,418;0;216;449;125;0;124;125;0
80;Lacey;Mclean;Itajaí;Santa Catarina;16/08/88;Suporte Técnico;Viúvo;R$8,780;406;0;249;249;0;190;190;464
81;Haley;Conley;Mauá;SP;04/07/87;Recursos Humanos;Solteiro;R$9,259;524;524;438;435;524;425;425;524
82;Ira;Brown;Joinville;Santa Catarina;03/10/49;Gerenciamento;Viúvo;R$9,406;313;198;235;63;0;34;28;0
83;Serena;Delgado;Santa Inês;MA;26/11/57;Recursos Humanos;Divorciado;R$9,955;0;0;713;614;0;575;583;0
84;Benjamin;Valencia;Cajazeiras;Paraíba;04/12/48;Jurídico;Solteiro;R$9,368;996;0;0;329;0;314;303;0
85;Zenaida;Mcgowan;Rio de Janeiro;Rio de Janeiro;13/11/83;Relações Públicas;Viúvo;R$7,208;478;0;460;282;0;241;222;0
86;Catherine;Bonner;Diadema;São Paulo;15/07/45;Recursos Humanos;Solteiro;R$8,309;0;0;980;980;0;981;979;997
87;Yasir;Cole;Itajaí;Santa Catarina;29/05/97;Vendas;Viúvo;R$8,596;0;0;970;956;0;940;935;0
88;Christopher;Estes;Osasco;SP;04/06/96;Financeiro;Casado;R$8,698;0;883;70;24;0;28;26;0
89;Hyatt;Meyers;Olinda;PE;08/07/98;Relações Públicas;Divorciado;R$8,688;0;0;850;369;0;380;374;0
90;Hedley;Shepherd;Marabá;PA;09/12/68;Marketing;Viúvo;R$5,242;0;0;0;954;0;948;950;0
91;Axel;Nicholson;Lauro de Freitas;BA;15/10/38;Vendas;Casado;R$9,423;0;825;356;332;0;321;316;0
92;Eric;Irwin;Balsas;Maranhão;30/12/57;Serviço ao Cliente;Casado;R$5,609;0;0;567;545;0;536;533;0
93;Amela;Merrill;Carapicuíba;São Paulo;01/05/53;Suporte Técnico;Viúvo;R$8,818;0;0;888;844;0;844;844;0
94;Xenos;Wade;Campos dos Goytacazes;RJ;04/03/35;Financeiro;Divorciado;R$8,552;0;0;0;755;0;754;762;0
95;Yoko;Fox;Mogi das Cruzes;São Paulo;15/04/35;Suporte Técnico;Divorciado;R$5,573;0;0;840;786;0;790;789;0
96;Hashim;Griffith;Belford Roxo;RJ;24/10/07;Pesquisa e Desenvolvimento;Divorciado;R$5,707;970;0;196;141;0;117;109;399
97;Norman;Mccormick;Joinville;SC;01/02/90;Jurídico;Solteiro;R$9,832;720;240;323;254;0;245;247;0
98;Edward;Bridges;Piracicaba;São Paulo;15/03/47;Jurídico;Solteiro;R$5,241;0;0;675;666;0;663;663;0
99;Hadley;Mercer;Uberaba;Minas Gerais;20/02/56;Recursos Humanos;Solteiro;R$7,855;0;0;0;972;0;946;960;0
100;Carlos;Mullins;Campinas;São Paulo;21/02/64;Pesquisa e Desenvolvimento;Casado;R$6,633;0;0;989;904;0;905;905;0
101;Timothy;Burns;Rio Verde;GO;18/07/83;Relações Públicas;Casado;R$8,601;0;0;0;969;0;982;959;0
102;Mia;Joseph;Mauá;São Paulo;23/09/17;Vendas;Viúvo;R$9,771;0;0;423;394;0;396;394;0
103;Alvin;Noel;Valparaíso de Goiás;Goiás;25/02/64;Suporte Técnico;Divorciado;R$7,621;0;0;0;988;0;928;911;0
104;Zephania;Cox;Cajazeiras;Paraíba;18/04/83;Suporte Técnico;Divorciado;R$9,594;995;0;296;296;0;269;267;0
105;Daria;Mcclain;Niterói;RJ;28/11/60;Financeiro;Viúvo;R$5,515;0;877;209;151;0;170;142;0
106;Chaney;Cobb;Santa Rita;Paraíba;20/12/41;Relações Públicas;Viúvo;R$7,966;263;496;145;144;0;33;22;0
107;Nissim;Malone;Cabo de Santo Agostinho;Pernambuco;13/08/80;Pesquisa e Desenvolvimento;Casado;R$6,417;779;0;773;773;0;773;744;0
108;Jasmine;Mcguire;Maringá;Paraná;10/05/59;Financeiro;Casado;R$8,012;0;722;835;484;0;374;366;0
109;Charity;Warren;Jundiaí;São Paulo;23/09/49;Marketing;Solteiro;R$7,784;501;501;419;403;501;404;424;501
110;Melvin;Slater;Mauá;São Paulo;12/02/18;Suporte Técnico;Viúvo;R$5,575;860;0;224;221;0;214;209;0
111;Linda;Chase;Ponta Grossa;PR;20/11/13;Relações Públicas;Casado;R$7,643;0;997;0;822;0;836;815;0
112;Alden;Henderson;Juazeiro do Norte;CE;05/10/71;Pesquisa e Desenvolvimento;Solteiro;R$9,734;0;0;677;693;0;641;645;0
113;Ursa;Nieves;Betim;MG;02/12/80;Suporte Técnico;Divorciado;R$7,127;0;0;381;131;0;119;119;0
114;Salvador;Nunez;Petrolina;Pernambuco;05/09/50;Relações Públicas;Divorciado;R$7,553;0;876;718;722;0;669;668;0
115;George;Clements;Mauá;São Paulo;16/02/16;Recursos Humanos;Solteiro;R$7,023;0;0;648;644;0;656;639;0
116;Winter;May;Governador Valadares;Minas Gerais;18/07/55;Gerenciamento;Viúvo;R$9,053;0;823;816;689;0;666;665;0
117;Eric;Blackwell;Camaçari;BA;14/06/57;Serviço ao Cliente;Solteiro;R$6,197;431;922;407;368;0;371;360;0
118;Karen;Mitchell;Gravataí;RS;24/09/06;Suporte Técnico;Solteiro;R$8,486;0;0;345;409;0;356;349;0
119;Clinton;Howell;Jundiaí;SP;16/02/13;Recursos Humanos;Divorciado;R$6,292;602;0;552;523;672;524;532;0
120;Camden;Barnett;Goiânia;Goiás;04/11/30;Suporte Técnico;Viúvo;R$9,167;0;745;969;681;0;651;653;0
121;Holmes;Briggs;Camaçari;BA;21/10/62;Marketing;Solteiro;R$7,876;0;0;916;916;0;890;880;0
122;Leroy;Soto;Paço do Lumiar;MA;05/03/44;Financeiro;Viúvo;R$6,586;554;554;554;467;554;466;468;554
123;Felicia;Haynes;Gravataí;Rio Grande do Sul;24/10/80;Relações Públicas;Divorciado;R$6,368;616;0;724;383;0;357;348;410
124;Ciaran;Lloyd;Niterói;RJ;28/07/33;Gerenciamento;Divorciado;R$5,957;0;0;942;915;0;906;899;0
125;Chaim;Mcmillan;Ananindeua;Pará;04/10/60;Financeiro;Solteiro;R$7,591;0;0;0;842;0;825;826;0
126;Macaulay;Barnett;Camaçari;Bahia;31/08/15;Vendas;Viúvo;R$9,756;0;649;355;356;0;366;362;0
127;Adele;Nunez;Santa Rita;PB;29/01/92;Marketing;Divorciado;R$7,145;0;667;774;699;0;624;618;0
128;Logan;Johns;Criciúma;Santa Catarina;11/02/05;Relações Públicas;Viúvo;R$6,873;0;0;979;967;0;958;964;0
129;Ronan;Davenport;Piracicaba;SP;04/01/47;Serviço ao Cliente;Divorciado;R$8,560;0;0;707;679;0;692;681;845
130;Nicole;Gaines;Imperatriz;Maranhão;25/08/79;Financeiro;Divorciado;R$8,752;163;112;161;35;0;17;16;0
131;Martha;Vargas;Cascavel;Paraná;24/04/02;Marketing;Divorciado;R$8,714;702;0;252;133;0;147;139;0
132;Trevor;Atkinson;Uberlândia;Minas Gerais;17/11/89;Suporte Técnico;Divorciado;R$9,658;547;547;547;456;547;452;449;547
133;Alexis;Hartman;Rio Grande;Rio Grande do Sul;09/02/82;Serviço ao Cliente;Casado;R$6,553;0;0;0;887;0;822;814;0
134;Michael;Winters;Blumenau;SC;14/12/91;Financeiro;Viúvo;R$5,801;0;0;0;0;0;986;989;0
135;Dalton;Hogan;Rio de Janeiro;Rio de Janeiro;04/02/33;Marketing;Divorciado;R$8,326;140;841;160;98;0;109;94;0
136;Blythe;Nelson;Jundiaí;São Paulo;05/04/59;Suporte Técnico;Viúvo;R$9,019;0;0;642;637;0;638;644;0
137;Rajah;Alexander;Carapicuíba;São Paulo;04/10/35;Vendas;Casado;R$8,651;0;0;981;977;0;0;969;0
138;Mason;Lloyd;Fortaleza;CE;08/07/17;Jurídico;Casado;R$9,354;767;895;0;769;0;765;767;0
139;Dominic;Bridges;Ribeirão Preto;SP;12/02/56;Gerenciamento;Viúvo;R$9,465;0;661;316;286;0;286;278;0
140;Violet;Carlson;Jundiaí;SP;20/10/73;Gerenciamento;Divorciado;R$9,400;0;0;679;650;0;652;643;0
141;Lester;Sexton;Piracicaba;SP;22/03/75;Recursos Humanos;Viúvo;R$7,425;541;541;517;446;541;448;454;509
142;Victoria;Rojas;Belo Horizonte;Minas Gerais;28/05/63;Recursos Humanos;Casado;R$9,349;0;0;0;898;0;862;860;0
143;Vaughan;Hunt;Jundiaí;São Paulo;15/04/30;Vendas;Divorciado;R$9,264;434;0;173;178;0;173;170;0
144;Colorado;Wilder;Itajaí;SC;02/12/85;Vendas;Solteiro;R$8,780;564;564;564;564;564;490;477;564
145;Moses;Rush;Gravataí;RS;30/09/13;Serviço ao Cliente;Viúvo;R$8,285;0;0;218;218;0;226;208;0
146;Tanek;Sweeney;Camaçari;BA;15/01/58;Serviço ao Cliente;Viúvo;R$8,811;0;0;0;921;0;937;923;0
147;Dane;Castro;São João de Meriti;Rio de Janeiro;08/05/79;Pesquisa e Desenvolvimento;Viúvo;R$5,452;0;0;472;370;0;337;335;0
148;Vincent;Buchanan;Caxias do Sul;RS;10/05/96;Recursos Humanos;Divorciado;R$5,172;622;0;483;245;0;243;241;0
149;Ciaran;Church;Divinópolis;Minas Gerais;08/03/43;Jurídico;Solteiro;R$7,356;895;0;612;547;0;551;543;0
150;Coby;Bates;Divinópolis;MG;25/12/99;Gerenciamento;Divorciado;R$6,924;0;0;898;886;0;882;890;0
151;Zenaida;Saunders;Mogi das Cruzes;SP;25/12/80;Gerenciamento;Casado;R$9,573;578;578;491;517;578;479;484;578
152;Ulric;Blake;Salvador;BA;19/02/96;Marketing;Casado;R$6,514;0;0;608;372;0;381;369;0
153;Aidan;Duffy;Timon;Maranhão;21/07/75;Gerenciamento;Solteiro;R$6,185;0;0;951;692;0;676;674;0
154;Savannah;Sherman;Petrópolis;RJ;01/08/46;Gerenciamento;Viúvo;R$6,503;0;0;797;753;0;761;756;0
155;Melyssa;Trevino;Ipatinga;MG;30/08/03;Suporte Técnico;Casado;R$8,521;0;0;689;543;0;534;531;0
156;Hilary;Moon;Castanhal;PA;02/08/79;Pesquisa e Desenvolvimento;Viúvo;R$5,213;0;0;379;154;0;156;151;0
157;Justina;Alston;Campos dos Goytacazes;RJ;22/06/92;Gerenciamento;Viúvo;R$8,960;0;0;416;321;0;332;305;0
158;Wynne;Perry;Camaçari;Bahia;17/09/00;Marketing;Viúvo;R$5,026;852;0;869;720;0;713;713;0
159;Skyler;Herrera;Jundiaí;SP;04/01/04;Marketing;Viúvo;R$6,634;0;785;723;702;0;685;682;0
160;Emerald;Horton;Novo Hamburgo;Rio Grande do Sul;22/09/91;Financeiro;Divorciado;R$7,824;930;0;409;434;0;394;393;0
161;Abigail;Kane;Carapicuíba;São Paulo;25/12/43;Vendas;Solteiro;R$6,760;0;775;58;61;0;70;61;0
162;Hop;Norris;Açailândia;MA;29/04/65;Serviço ao Cliente;Solteiro;R$5,335;872;891;0;899;0;876;864;0
163;Tanya;Rowe;Curitiba;PR;25/11/51;Jurídico;Viúvo;R$8,835;809;0;643;580;0;582;579;0
164;Desirae;Haley;Itajaí;Santa Catarina;30/07/53;Gerenciamento;Viúvo;R$5,444;0;0;934;817;0;795;795;0
165;Barry;Charles;Anápolis;GO;13/05/47;Gerenciamento;Solteiro;R$5,666;197;0;262;185;0;127;114;0
166;Anthony;Lowe;Osasco;SP;28/06/85;Gerenciamento;Viúvo;R$6,279;0;0;119;89;0;98;90;0
167;Tate;Floyd;Aparecida de Goiânia;GO;05/08/57;Marketing;Solteiro;R$7,519;0;229;257;257;0;201;201;0
168;Velma;Stout;Marabá;PA;12/07/84;Gerenciamento;Casado;R$8,888;553;553;553;536;553;456;455;553
169;Sage;Sims;Paulista;Pernambuco;04/11/72;Suporte Técnico;Divorciado;R$8,034;0;610;295;271;0;216;219;0
170;Kadeem;Robbins;Ribeirão Preto;São Paulo;17/08/60;Suporte Técnico;Divorciado;R$6,450;544;544;493;458;544;447;447;544
171;Caleb;Conway;Ribeirão das Neves;MG;06/11/32;Pesquisa e Desenvolvimento;Casado;R$5,385;127;80;97;51;0;61;60;0
172;Sade;Sargent;Paulista;Pernambuco;23/06/93;Serviço ao Cliente;Divorciado;R$7,349;0;747;406;376;0;297;297;0
173;Montana;Prince;Itapipoca;CE;08/07/61;Pesquisa e Desenvolvimento;Solteiro;R$8,985;265;0;0;232;0;184;191;891
174;Kenyon;Wright;Guarulhos;São Paulo;12/08/09;Vendas;Divorciado;R$8,972;0;0;947;944;0;955;943;0
175;Yolanda;Knight;Crato;CE;17/04/55;Pesquisa e Desenvolvimento;Casado;R$6,601;0;461;425;357;0;376;353;0
176;Maxwell;Leblanc;Cascavel;PR;31/07/90;Suporte Técnico;Divorciado;R$9,754;0;0;982;982;0;954;933;0
177;Veda;Rivers;Osasco;São Paulo;29/07/17;Financeiro;Casado;R$7,370;985;0;613;575;0;568;567;0
178;Deacon;Robertson;Bacabal;Maranhão;05/10/18;Suporte Técnico;Casado;R$8,764;0;0;448;344;0;343;347;0
179;Buffy;Wheeler;Guarulhos;São Paulo;27/01/91;Suporte Técnico;Viúvo;R$5,919;0;976;881;865;0;854;847;0
180;Stephen;Harmon;Ilhéus;BA;11/05/91;Gerenciamento;Viúvo;R$9,392;0;0;812;863;0;805;807;0
181;Hop;Tyson;Campinas;São Paulo;21/01/56;Vendas;Divorciado;R$7,949;0;0;902;901;0;889;875;0
182;August;Cruz;São João de Meriti;RJ;21/10/72;Suporte Técnico;Casado;R$9,976;898;0;862;856;0;829;824;880
183;Freya;Dixon;Vitória da Conquista;BA;27/01/13;Serviço ao Cliente;Divorciado;R$9,807;232;796;470;180;0;182;187;0
184;Honorato;Reeves;Uberaba;MG;20/06/65;Suporte Técnico;Divorciado;R$6,730;0;0;611;562;0;596;561;0
185;Naomi;Cain;Olinda;PE;24/08/79;Serviço ao Cliente;Casado;R$9,745;0;0;0;894;0;893;898;0
186;Garth;Jordan;Guarapuava;PR;21/10/40;Marketing;Divorciado;R$8,947;0;0;837;814;0;808;803;0
187;Morgan;Torres;Ribeirão Preto;SP;17/06/31;Vendas;Solteiro;R$9,120;0;0;890;841;0;831;827;0
188;Erich;Nunez;Rio Verde;Goiás;31/08/86;Serviço ao Cliente;Viúvo;R$8,304;889;0;958;880;0;880;881;0
189;Justine;Clayton;Osasco;São Paulo;05/02/49;Financeiro;Viúvo;R$6,534;483;0;412;400;0;432;400;0
190;Hammett;Ryan;Campos dos Goytacazes;Rio de Janeiro;21/08/10;Jurídico;Solteiro;R$8,653;0;0;753;797;0;742;731;0
191;Caesar;Fields;Guarulhos;São Paulo;29/10/54;Vendas;Solteiro;R$9,556;0;0;777;744;0;746;745;0
192;Martina;Bowen;Ribeirão Preto;SP;13/01/80;Vendas;Viúvo;R$9,685;0;0;789;758;0;762;757;0
193;Owen;Langley;Campinas;SP;17/09/43;Pesquisa e Desenvolvimento;Solteiro;R$9,588;0;0;568;552;0;567;548;0
194;Vielka;Holland;Guarulhos;SP;05/03/41;Serviço ao Cliente;Viúvo;R$6,784;0;821;781;782;0;780;787;0
195;Duncan;Hanson;Sete Lagoas;MG;04/06/47;Serviço ao Cliente;Casado;R$7,350;0;0;838;800;0;782;781;0
196;Larissa;Keith;Osasco;São Paulo;07/05/93;Gerenciamento;Viúvo;R$7,981;754;0;682;676;0;673;670;0
197;Barclay;Sawyer;Bacabal;MA;21/07/83;Relações Públicas;Solteiro;R$9,024;0;0;342;290;0;255;254;0
198;Iliana;Oconnor;Mauá;São Paulo;04/10/06;Marketing;Divorciado;R$9,816;0;0;650;661;0;668;664;0
199;Theodore;Baxter;Duque de Caxias;Rio de Janeiro;18/11/54;Jurídico;Solteiro;R$7,382;0;0;282;19;0;30;13;0
200;Judah;Fry;Belford Roxo;RJ;05/10/99;Vendas;Casado;R$6,379;0;0;893;371;0;324;322;0
201;Veda;Hester;Crato;CE;02/02/97;Gerenciamento;Divorciado;R$8,053;0;0;0;0;0;990;996;0
202;Cassandra;Fleming;Juazeiro;BA;16/03/53;Suporte Técnico;Viúvo;R$6,697;817;928;775;652;0;635;616;0
203;Jeremy;Hays;Camaçari;BA;24/03/46;Financeiro;Divorciado;R$6,417;589;589;507;511;589;495;503;589
204;Jacqueline;Fisher;Bacabal;MA;09/08/82;Serviço ao Cliente;Solteiro;R$7,532;947;133;125;123;0;144;115;0
205;Pandora;Strong;Mogi das Cruzes;São Paulo;07/11/45;Relações Públicas;Viúvo;R$5,026;408;459;478;401;0;405;405;710
206;Dexter;Mccarthy;Chapadinha;Maranhão;16/06/77;Financeiro;Viúvo;R$6,657;0;699;0;353;0;346;346;0
207;Megan;Monroe;Jundiaí;SP;20/05/96;Suporte Técnico;Divorciado;R$5,035;0;620;575;559;0;557;556;0
208;Neville;Frederick;Rio Grande;Rio Grande do Sul;27/10/90;Recursos Humanos;Casado;R$7,995;0;868;711;670;0;660;683;0
209;Stella;Thomas;Mauá;São Paulo;07/02/34;Pesquisa e Desenvolvimento;Viúvo;R$7,790;0;0;294;294;0;279;248;0
210;Jessica;Clayton;Diadema;São Paulo;02/04/93;Pesquisa e Desenvolvimento;Casado;R$8,769;0;372;157;80;0;79;79;0
